seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5100,2017,18,22,65,1.3063107834347856,30.045148019000067
5101,146,4,5,14,1.4935972403333342,8.961583442000006
5102,288,6,7,20,1.4577217383749996,11.661773906999997
5103,1890,18,16,47,1.256670278058821,21.363394726999957
5104,107,2,6,17,1.505717104428592,10.540019731000143
5105,507,8,10,29,1.2701663516363675,13.971829868000043
5106,457,6,12,34,1.4456354503846132,18.79326085499997
5107,369,6,10,29,1.5333070059999934,16.866377065999927
5108,278,4,9,26,1.2466234749000136,12.466234749000137
5109,56,1,4,11,1.3733434981999835,6.866717490999918
5110,11455,37,59,176,1.298532376316669,77.91194257900014
5111,3033,23,20,59,1.434328460333342,30.12089766700018
5112,742,8,15,44,1.525505539000001,24.408088624000015
5113,114,2,6,16,1.465011685142859,10.255081796000013
5114,504,6,13,37,1.3290153667857112,18.606215134999957
5115,1925,16,20,59,1.0961710916666714,23.019592925000097
5116,296,4,10,28,1.162054279727272,12.782597076999991
5117,668,7,16,46,0.942337443705897,16.01973654300025
5118,63,1,5,13,1.7017256994999836,10.210354196999901
5119,2264,20,16,47,1.2929984601176476,21.98097382200001
5120,293,5,9,26,1.4864987760000303,14.864987760000304
5121,348,6,11,31,1.5951615886666748,19.1419390640001
5122,113,1,7,19,1.7439968946250133,13.951975157000106
5123,1249,14,15,44,1.494065960187477,23.905055362999633
5124,612,9,12,35,1.440842390692305,18.730951078999965
5125,774,11,10,28,1.2696712970909052,13.966384267999956
5126,105,2,5,15,2.2420198504000153,11.210099252000077
5127,452,8,8,23,0.950257263888918,8.552315375000262
5128,90,1,5,14,1.827182083333336,10.963092500000016
5129,1511,16,15,44,1.256884447874988,20.11015116599981
5130,726,9,13,37,1.3529351032857124,18.941091445999973
5131,462,8,9,26,1.4744457108999995,14.744457108999995
5132,854,11,13,38,1.6432514937142741,23.005520911999838
5133,1710,17,14,41,1.253999378866653,18.809990682999796
5134,683,9,14,40,1.0841945265333228,16.26291789799984
5135,235,4,8,23,1.271840520444458,11.446564684000123
5136,2604,19,26,77,1.2407053025925987,33.499043170000164
5137,1404,13,18,52,1.181132711052639,22.441521510000143
5138,449,8,8,23,1.3198677911111014,11.878810119999912
5139,700,9,15,43,1.1601929161249913,18.56308665799986
5140,8118,39,29,86,1.1591268097333378,34.773804292000136
5141,358,7,8,23,1.3426427473333307,12.083784725999976
5142,162,3,7,20,1.5771453492499745,12.617162793999796
5143,4613,25,31,91,1.0502045900624992,33.606546881999975
5144,3595,22,25,74,1.1645735963846233,30.278913506000208
5145,3057,17,25,74,1.1397646988076882,29.63388216899989
5146,308,6,8,23,1.305523436222226,11.749710926000034
5147,7575,34,37,109,1.2025435544210687,45.69665506800061
5148,1489,15,14,41,1.2074025759333684,18.111038639000526
5149,254,5,9,25,1.4565156843000069,14.565156843000068
5150,234,5,8,22,1.6719484978889088,15.04753648100018
5151,1495,13,17,50,1.097976334499991,19.76357402099984
5152,649,9,12,34,1.4205938967691754,18.46772065799928
5153,114,3,4,11,1.5087630108000212,7.543815054000106
5154,292,6,8,22,1.3270850401110894,11.943765360999805
5155,3514,25,21,62,1.1680299078181882,25.69665797200014
5156,1209,14,13,37,1.2453029750714353,17.434241651000093
5157,7035,35,32,95,1.1501225092121277,37.95404280400021
5158,294,6,8,22,1.2915750047777945,11.62417504300015
5159,82,2,5,13,1.3850080345000226,8.310048207000136
5160,528,7,12,35,1.560384701153855,20.285001115000114
5161,446,7,10,29,1.0836585012727111,11.920243513999822
5162,206,4,8,24,2.1153148377499633,16.922518701999707
5163,4002,27,21,62,1.1878742087727068,26.133232592999548
5164,323,6,8,23,1.5756451354443977,14.180806218999578
5165,2329,20,19,56,1.0453298987000152,20.906597974000306
5166,306,6,8,23,1.7352070503333532,15.616863453000178
5167,339,5,12,35,1.3722881079230984,17.83974540300028
5168,1183,14,12,35,1.32015709446154,17.16204222800002
5169,1335,15,13,38,1.195289603571382,16.73405444999935
5170,5016,26,34,100,1.0213347721714463,35.746717026000624
5171,119,3,5,14,1.4185228869999946,8.511137321999968
5172,91,2,5,13,1.8080946461667888,10.848567877000733
5173,677,8,11,32,1.4402161578333523,17.28259389400023
5174,170,4,6,16,1.6433665491428135,11.503565843999695
5175,161,4,6,17,1.4380056839999855,10.066039787999898
5176,8611,40,32,95,1.0762386735757445,35.51587622799957
5177,1345,15,12,34,1.1486769181538665,14.932799936000265
5178,105,2,6,17,1.8798882585714896,13.159217810000428
5179,1446,11,17,50,1.167094059611082,21.007693072999473
5180,538,8,11,32,1.3397703361666988,16.077244034000387
5181,788,8,14,41,1.1818545782000152,17.72781867300023
5182,1566,14,21,61,1.1699292799090906,25.738444157999993
5183,4442,22,41,122,1.1238746494761873,47.202735277999864
5184,221,4,7,19,1.5028531875000226,12.022825500000181
5185,946,11,14,41,1.2756209328000296,19.134313992000443
5186,2206,17,21,62,1.0361753182272238,22.79585700099892
5187,665,10,10,29,1.1325858338182322,12.458444172000554
5188,272,6,6,17,1.3873890650000444,9.71172345500031
5189,1524,11,21,62,1.4056217190000098,30.923677818000215
5190,305,6,9,26,1.4003405966999707,14.003405966999708
5191,149,3,6,17,1.271645779428614,8.901520456000299
5192,235,5,8,22,1.4889878972222605,13.400891075000345
5193,564,9,10,29,1.2783876237272538,14.062263860999792
5194,3418,14,36,106,1.1982089088378538,44.333729627000594
5195,503,7,9,25,1.2178815440000108,12.178815440000108
5196,58,1,4,11,1.6681750142000056,8.340875071000028
5197,84,2,5,14,1.8414621238333286,11.048772742999972
5198,1653,10,28,83,1.1737910644138412,34.039940868001395
5199,371,7,7,20,1.2328261578749107,9.862609262999285
5200,79,2,5,14,1.9204069546665323,11.522441727999194
5201,236,5,8,23,1.6301301105556578,14.67117099500092
5202,3249,19,26,77,1.1423319231481501,30.842961925000054
5203,1047,13,12,34,1.1475613070769073,14.918296991999796
5204,362,7,7,20,1.3360082840000018,10.688066272000015
5205,188,4,7,20,1.943947850375082,15.551582803000656
5206,1086,12,15,45,1.7576630125333093,26.364945187999638
5207,120,3,6,16,1.615511880428455,11.308583162999184
5208,8325,37,34,101,1.0949491772857203,38.32322120500021
5209,8662,37,45,133,1.1108453496087014,51.09888608200026
5210,4089,25,20,58,1.2088012981428489,25.384827260999828
5211,1922,16,23,67,1.1730886133749436,28.154126720998647
5212,669,10,11,31,1.0597346124166809,12.716815349000171
5213,3060,19,24,70,1.3902722263599936,34.75680565899984
5214,252,4,8,23,1.2766563116666576,11.489906804999919
5215,596,9,10,29,1.5854331216364286,17.439764338000714
5216,134,3,7,19,1.4415765717501472,11.532612574001178
5217,950,12,13,38,1.0778522704284959,15.089931785998942
5218,49,1,4,11,1.7161823504000495,8.580911752000247
5219,952,6,22,65,1.133135129043536,26.062107968001328
5220,97,2,6,17,2.1703435252858463,15.192404677000923
5221,2900,18,25,74,1.3100940525768623,34.06244536699842
5222,143,2,6,17,1.5761480205714438,11.033036144000107
5223,7852,26,60,178,1.057881178590147,64.53075189399897
5224,396,7,9,25,1.5917923543000143,15.917923543000143
5225,673,10,10,29,1.3367811569999668,14.704592726999635
5226,174,4,7,19,1.337503655624971,10.700029244999769
5227,1008,10,13,38,1.1441626960715243,16.018277745001342
5228,1948,17,18,53,1.1267822569473442,21.40886288199954
5229,1358,14,17,50,1.3969343512777768,25.14481832299998
5230,2508,21,18,52,1.2828288480000083,24.373748112000158
5231,292,6,7,20,1.2946696673750466,10.357357339000373
5232,894,11,13,38,1.3477026172857418,18.867836642000384
5233,456,8,8,23,1.5906226062223443,14.3156034560011
5234,4383,28,22,65,1.146934253739168,26.379487836000862
5235,2420,20,20,59,1.012847275571468,21.269792787000824
5236,459,8,9,26,1.2349762009999723,12.349762009999722
5237,843,11,14,41,1.5297688818666757,22.946533228000135
5238,370,6,11,31,1.0313885013333295,12.376662015999955
5239,2005,16,19,56,1.4708273666000196,29.41654733200039
5240,135,3,6,17,1.7182575228571295,12.027802659999907
5241,1769,17,16,47,1.2159878782941524,20.671793931000593
5242,2915,17,26,76,1.00984850659257,27.26590967799939
5243,384,7,10,29,1.4632984256362844,16.096282681999128
5244,1046,13,12,35,1.6323558750769525,21.220626376000382
5245,2073,18,19,56,1.0466791007500205,20.93358201500041
5246,332,6,9,26,1.4899154913000074,14.899154913000075
5247,2620,20,18,54,1.2681882391667234,22.827388305001023
5248,1895,18,17,50,1.0296951900555138,18.534513420999247
5249,147,3,6,17,1.4269577904285273,9.98870453299969
5250,2266,14,22,65,1.2456209396521287,28.64928161199896
5251,473,8,9,26,1.3773659006000343,13.773659006000344
5252,906,12,12,35,1.079684228923165,14.035894976001146
5253,5126,21,37,110,1.0400778862894497,39.52295967899909
5254,4617,27,35,103,1.134249610027723,40.83298596099803
5255,1344,15,13,38,1.0836657602857744,15.171320644000843
5256,2829,20,20,58,1.3658539919047576,28.68293382999991
5257,1036,10,16,47,1.4287040479999793,24.287968815999648
5258,2210,18,20,59,1.4621471287143453,30.70508970300125
5259,2138,13,22,65,1.3126259271739795,30.19039632500153
5260,1367,12,18,53,1.4139366700526232,26.864796730999842
5261,338,6,8,24,1.638212964249817,13.105703713998537
5262,102,2,5,14,1.4274538251666702,8.564722951000022
5263,86,2,5,13,1.7323481165000583,10.39408869900035
5264,449,6,11,32,1.221245534250026,14.65494641100031
5265,341,5,9,26,1.3096960566000235,13.096960566000234
5266,75,2,4,11,1.5859052683999835,7.929526341999917
5267,271,5,8,23,1.9424356213333642,17.48192059200028
5268,147,3,6,18,1.9393860448331754,11.636316268999053
5269,159,4,6,18,1.859102348166516,11.154614088999097
5270,395,7,9,27,1.5568159651112283,14.011343686001055
5271,53,1,4,10,1.6971059547999174,8.485529773999588
5272,1680,17,14,40,1.2560827448666714,18.84124117300007
5273,169,4,6,17,1.3595158921428134,9.516611244999694
5274,1221,12,16,47,1.2527685594117268,21.297065509999356
5275,84,2,5,14,1.884342304166618,11.306053824999708
5276,3838,26,25,74,1.3131204543076365,34.14113181199855
5277,52,1,4,10,1.6419284812001025,8.209642406000512
5278,856,9,15,43,1.1185174046875375,17.8962784750006
5279,369,7,9,25,1.3844166576000134,13.844166576000134
5280,1353,15,13,39,1.4019538803845535,18.225400444999195
5281,273,6,6,17,1.9647178225714665,13.753024758000265
5282,120,3,5,14,1.5001794833334163,9.001076900000498
5283,1054,13,13,38,1.3312308047857837,18.63723126700097
5284,3886,25,27,80,1.0693763591785423,29.942538056999183
5285,192,4,6,17,2.165239555000101,15.156676885000707
5286,4444,25,26,77,1.200601983111112,32.41625354400003
5287,59,1,5,13,1.6653164351666117,9.99189861099967
5288,32,0,3,8,1.6661352787500618,6.664541115000247
5289,160,4,6,17,1.754885221999952,12.284196553999664
5290,457,7,11,32,1.2528531285833726,15.034237543000472
5291,956,9,16,47,1.1077769694706792,18.832208481001544
5292,53,1,4,11,1.5307514616001754,7.653757308000877
5293,44,0,4,11,1.846280145199944,9.23140072599972
5294,1066,13,13,38,1.2317930284285208,17.24510239799929
5295,720,9,12,34,1.3496012727692828,17.544816546000675
5296,75,1,5,14,1.6599673103333619,9.959803862000172
5297,1312,11,16,47,1.1392657082940734,19.367517040999246
5298,293,6,7,20,1.686453726374964,13.491629810999711
5299,3203,18,25,74,0.9312196270000186,24.211710302000483
5300,441,8,8,23,1.4046659881110424,12.64199389299938
5301,221,5,6,17,1.543710804285768,10.805975630000376
5302,469,7,11,32,1.3357872664166734,16.02944719700008
5303,5432,31,27,80,1.1338944972499772,31.749045922999358
5304,58,1,4,11,1.6059854229999473,8.029927114999737
5305,776,8,15,44,1.1139336486251068,17.82293837800171
5306,963,9,16,46,1.0567232465882626,17.964295192000463
5307,109,2,5,14,1.656875809666417,9.941254857998501
5308,43,1,3,8,1.6369689072500933,6.547875629000373
5309,869,9,16,47,1.202789155411772,20.447415642000124
5310,1793,17,15,44,1.5106785846875823,24.170857355001317
5311,858,8,18,54,1.1511422263888056,20.720560074998502
5312,735,10,12,35,1.1769315436923324,15.300110068000322
5313,3493,16,34,100,1.1523072572284685,40.3307540029964
5314,10670,33,58,173,1.1188914085762347,66.01459310599785
5315,1547,16,15,44,1.3055250079376037,20.88840012700166
5316,87,2,4,11,1.425486741000168,7.12743370500084
5317,1095,13,14,42,0.9489038025714243,13.28465323599994
5318,1016,13,11,32,1.3057942139166698,15.669530567000038
5319,538,9,9,25,1.3884439717999157,13.884439717999157
5320,76,1,5,14,1.5480248718333012,9.288149230999807
5321,235,5,8,23,1.151560243777567,10.364042193998102
5322,486,7,11,32,1.6719773955835535,20.063728747002642
5323,122,3,5,14,1.4847449221665556,8.908469532999334
5324,4331,24,24,70,1.1838463572399995,29.59615893099999
5325,781,11,11,32,1.6529247632500603,19.835097159000725
5326,1113,10,19,56,1.174848511350092,23.49697022700184
5327,122,3,6,16,2.019604819000181,14.137233733001267
5328,245,4,8,23,1.5559571195556903,14.003614076001213
5329,194,3,8,23,1.7926167495554384,16.133550745998946
5330,4396,28,24,71,0.8930694333199063,22.326735832997656
5331,269,5,8,22,1.2559796143334299,11.30381652900087
5332,3998,27,21,62,1.174487399500115,25.83872278900253
5333,226,5,7,20,1.6020814308751596,12.816651447001277
5334,170,4,7,19,1.4863275073749946,11.890620058999957
5335,1289,12,18,53,1.1277844990526749,21.427905482000824
5336,1009,10,14,41,1.2408986987333264,18.613480480999897
5337,97,2,5,14,1.7583148648332099,10.54988918899926
5338,1473,13,22,65,1.003176165000063,23.073051795001447
5339,320,5,9,26,1.9219522121997215,19.219522121997215
5340,40355,86,57,170,1.1832090124482797,68.62612272200022
5341,73,2,4,11,2.016329802399923,10.081649011999616
5342,85,1,5,14,1.6473746861665859,9.884248116999515
5343,547,9,9,25,1.415543844900003,14.15543844900003
5344,4297,28,22,65,1.1950372194348702,27.485856047002017
5345,1048,11,13,38,1.249731477214222,17.496240680999108
5346,434,8,8,23,1.652420485888999,14.871784373000992
5347,2197,15,21,62,1.1869293253637558,26.11244515800263
5348,598,6,13,37,1.2353489054999045,17.294884676998663
5349,2827,16,28,83,1.3784666081724184,39.97553163700013
5350,2330,14,21,61,1.2172083073636382,26.778582762000042
5351,1337,15,12,35,1.3046752437692424,16.96077816900015
5352,1586,16,17,50,1.4598554709999816,26.277398477999668
5353,145,3,7,19,1.1950157866249356,9.560126292999485
5354,4049,18,36,106,1.2197961619999538,45.13245799399829
5355,2515,20,20,58,1.1790012602381725,24.759026465001625
5356,2153,19,16,47,1.3247743698236316,22.52116428700174
5357,1949,13,22,65,1.208336424521685,27.791737763998754
5358,5152,30,28,82,1.1042493413103862,32.0232308980012
5359,474,7,11,32,1.216740539583346,14.600886475000152
5360,151,3,7,19,1.759994084124969,14.079952672999752
5361,102,3,5,14,1.5973063126666602,9.583837875999961
5362,2771,21,17,50,1.3602730833333934,24.48491550000108
5363,55,1,5,13,1.6832586195000658,10.099551717000395
5364,1168,14,12,34,1.1541563320000792,15.00403231600103
5365,119,3,5,14,1.517019219166741,9.102115315000447
5366,1171,14,12,35,1.3184217138463141,17.139482280002085
5367,1369,15,14,41,1.3712012108665779,20.56801816299867
5368,1491,10,18,53,1.0516263463684339,19.980900581000242
5369,837,9,16,47,1.4258059341176277,24.23870087999967
5370,7351,35,35,104,1.3079685837222366,47.08686901400051
5371,416,4,11,31,1.4671776588331038,17.606131905997245
5372,60,1,4,11,2.007348883800296,10.03674441900148
5373,3342,18,26,76,1.104235100851838,29.814347722999628
5374,624,7,13,38,1.199081968642661,16.787147560997255
5375,5013,29,24,70,1.1556874751199575,28.892186877998938
5376,73,1,4,12,1.8373360837499604,7.3493443349998415
5377,308,4,9,26,1.467308217900154,14.67308217900154
5378,3023,20,25,74,1.0456795306924085,27.18766779800262
5379,944,10,18,53,1.3527283538945707,25.701838723996843
5380,56,1,4,11,1.5787373163999292,7.893686581999646
5381,4632,27,31,91,1.1853422141250576,37.93095085200184
5382,47,1,3,8,1.6006583650002995,6.402633460001198
5383,1244,9,20,59,1.0854085452857751,22.79357945100128
5384,561,9,9,26,1.328001236900127,13.28001236900127
5385,732,10,11,32,1.384917662916602,16.619011954999223
5386,171,4,6,17,1.3645085805713149,9.551560063999204
5387,1173,12,16,47,1.2308216990588121,20.923968883999805
5388,872,10,16,47,1.2713481008823317,21.61291771499964
5389,2353,17,23,68,1.1029855620833284,26.47165348999988
5390,369,7,8,23,1.252310847444379,11.27079762699941
5391,1251,14,16,47,1.0419685414117874,17.713465204000386
5392,760,8,15,43,1.0475904267499914,16.761446827999862
5393,468,7,11,33,1.4182521097271257,15.600773206998383
5394,5545,32,25,74,1.2811881177691389,33.31089106199761
5395,185,3,7,19,1.5502229281250948,12.401783425000758
5396,118,3,4,11,1.4392825799999627,7.196412899999814
5397,1585,16,15,44,1.3104985466874837,20.96797674699974
5398,1805,12,28,83,1.1564342673793424,33.53659375400093
5399,894,10,14,41,1.135582100399976,17.03373150599964
5400,5791,25,49,146,0.9928124927000499,49.640624635002496
5401,242,5,7,20,1.1368868442498297,9.095094753998637
5402,1653,16,17,50,1.0842835462777254,19.517103832999055
5403,351,6,10,29,1.1825100396364094,13.007610436000505
5404,888,12,11,32,1.2981815294999706,15.578178353999647
5405,2564,18,28,83,1.0508363833793644,30.474255118001565
5406,2281,20,16,47,1.2125090381176264,20.61265364799965
5407,543,8,11,32,1.6518062241667242,19.82167469000069
5408,1720,13,22,65,1.0663535913478446,24.526132601000427
5409,124,3,6,16,1.3535440405716404,9.474808284001483
5410,395,7,9,26,1.107858229300018,11.078582293000181
5411,161,4,5,14,1.5699555776667087,9.419733466000253
5412,907,12,12,34,1.2960124936924051,16.848162418001266
5413,896,8,15,44,0.9546728164999649,15.274765063999439
5414,223,4,7,20,1.5495413955000004,12.396331164000003
5415,4600,29,21,62,1.1773666973637196,25.90206734200183
5416,3706,17,28,83,1.1167953315861552,32.3870646159985
5417,65,1,5,13,2.1083479078332252,12.65008744699935
5418,3351,21,24,71,1.2899696891999701,32.249242229999254
5419,2154,14,26,77,1.1748939268148508,31.722136024000974
5420,4907,30,23,68,1.1867722800831946,28.48253472199667
5421,915,12,11,32,1.208302975583365,14.49963570700038
5422,362,3,12,35,1.2011238740768442,15.614610362998974
5423,159,4,7,19,1.5085337153748242,12.068269722998593
5424,373,7,8,23,1.45850858222194,13.12657723999746
5425,3048,23,21,62,1.3667979554546614,30.069555020002554
5426,445,8,9,25,1.4756005880000884,14.756005880000885
5427,86,2,5,13,1.5429946846667615,9.257968108000568
5428,965,9,16,47,1.1231895529411786,19.094222400000035
5429,376,7,8,23,1.0928099548887582,9.835289593998823
5430,291,6,8,22,1.2681483077775637,11.413334769998073
5431,113,3,5,13,1.2192328533331722,7.315397119999034
5432,2235,18,14,41,1.0647284351334747,15.97092652700212
5433,1118,13,15,44,1.1903755272499552,19.046008435999283
5434,675,9,13,37,1.2537893196426921,17.55305047499769
5435,3993,24,24,71,1.0556289424798524,26.39072356199631
5436,695,8,15,43,1.0315694290000579,16.505110864000926
5437,3857,26,23,68,1.1025666278332362,26.461599067997668
5438,837,11,13,37,1.2570226965713769,17.598317751999275
5439,276,6,6,17,1.3656505648572679,9.559553954000876
5440,167,4,6,17,1.487413650142766,10.411895550999361
5441,3582,23,31,92,1.102757952875038,35.288254492001215
5442,1746,17,17,50,0.9722019384444643,17.49963489200036
5443,129,3,6,16,1.4345257352857257,10.04168014700008
5444,815,6,18,53,1.353757738315835,25.721397028000865
5445,661,10,10,30,1.0733368000000154,10.733368000000155
5446,442,8,8,22,0.9866418167778951,8.879776351001055
5447,19738,56,55,164,1.191378508000152,66.71719644800851
5448,1104,10,16,47,1.185257046588263,20.14936979200047
5449,2982,23,20,58,1.080393604190422,22.688265687998864
5450,215,5,7,20,1.3402390599999308,10.721912479999446
5451,3464,25,19,56,1.1856183452499862,23.712366904999726
5452,1737,17,14,41,1.1946005562666566,17.91900834399985
5453,260,5,8,22,1.358411011444534,12.225699103000807
5454,1824,12,22,64,1.160152763913135,26.683513570002106
5455,2182,19,18,53,0.9862036689473825,18.73786971000027
5456,180,4,6,17,1.7911462798573277,12.538023959001293
5457,123,3,5,15,1.9795395079998344,9.897697539999172
5458,1502,13,19,56,1.166012781749987,23.32025563499974
5459,572,9,10,29,1.4185899690000952,15.604489659001047
5460,670,7,11,32,1.2888167286665368,15.465800743998443
5461,2410,15,24,71,1.194245622240087,29.856140556002174
5462,59,1,5,14,2.170490274166847,13.022941645001083
5463,343,6,6,18,1.9529953788334449,11.717972273000669
5464,2583,21,20,59,1.178433460476169,24.74710266999955
5465,3608,25,24,70,1.2002877040400926,30.007192601002316
5466,160,4,6,17,1.426790280428447,9.987531962999128
5467,2832,22,17,50,1.0471845555001285,18.849321999002314
5468,1698,12,21,61,1.2466890741364047,27.427159631000904
5469,370,7,8,23,1.3003626218890834,11.703263597001751
5470,807,9,16,46,1.2594335679412003,21.410370655000406
5471,5939,33,26,77,1.2598098636297235,34.01486631800253
5472,776,11,10,29,1.450395759909208,15.954353359001288
5473,2094,13,32,95,1.204055553696917,39.733833271998265
5474,1333,15,13,37,1.1390799607141682,15.947119449998354
5475,323,6,8,22,1.055833725444447,9.502503529000023
5476,1540,14,19,55,1.202729912850009,24.05459825700018
5477,2290,20,17,49,1.184933553388924,21.32880396100063
5478,1273,14,16,46,1.1310330922941134,19.22756256899993
5479,822,10,13,38,1.028177092857147,14.394479300000057
5480,2534,21,17,50,1.369714223388908,24.65485602100034
5481,1097,11,15,45,1.3644299370666582,20.466449055999874
5482,76,1,5,14,1.5696981588331862,9.418188952999117
5483,1026,12,13,38,0.9509264545716049,13.312970364002467
5484,129,2,6,17,1.1807511357145424,8.265257950001796
5485,78,1,5,14,1.4803210993333475,8.881926596000085
5486,6644,19,57,170,0.9334222972241087,54.13849323899831
5487,48,1,3,8,1.3645794544997898,5.458317817999159
5488,1003,11,16,47,0.9927356990000964,16.87650688300164
5489,205,3,8,23,1.2897128173334649,11.607415356001184
5490,1707,17,15,44,1.2349209768126457,19.75873562900233
5491,893,12,10,29,1.23206576336369,13.552723397000591
5492,66,2,4,11,1.9718171051999889,9.859085525999944
5493,1004,10,16,47,1.2117385294706016,20.599555001000226
5494,9905,43,32,95,1.1210652019394591,36.99515166400215
