seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
9000,13471,50,39,117,2.0800507291241956,83.20202916496783
9001,15489,39,66,198,2.8579335462531326,191.48154759895988
9002,5972,27,37,111,3.4389549716575667,130.68028892298753
9003,1333,15,13,39,3.598858516787004,50.38401923501806
9004,35714,82,66,198,2.726917761522858,182.70349002203147
9005,5870,26,46,138,3.6358617700003535,170.8855031900166
9006,3249,20,25,75,3.9875509594611893,103.67632494599093
9007,65564,77,151,453,3.2102113595008537,487.95212664412975
9008,59407,91,147,441,3.55702253874984,526.4393357349763
9009,513,8,10,30,4.402421019545397,48.42663121499936
9010,1183,12,16,48,4.225162908003447,71.82776943605859
9011,10252,44,32,96,4.417581722122232,145.78019683003367
9012,886,12,10,30,3.7648814847290684,41.413696332019754
9013,2499,16,21,63,3.219557422636585,70.83026329800487
9014,24109,54,76,228,2.9212818813380594,224.93870486303058
9015,346,7,7,21,4.394151719125148,35.15321375300118
9016,20022,61,53,159,3.44780375227856,186.18140262304223
9017,639,9,10,30,3.2636704670916186,35.9003751380078
9018,19947,56,60,180,3.5219832227207992,214.84097658596875
9019,7299,29,46,138,2.963894928999659,139.30306166298396
9020,235,4,6,18,3.7728621058569325,26.410034740998526
9021,4009,27,19,57,3.3960882298510113,67.92176459702023
9022,2085,19,15,45,4.164293078061746,66.62868924898794
9023,1078,13,12,36,3.6643553646885825,47.63661974095157
9024,3737,25,24,72,3.229064027838758,80.72660069596895
9025,1493,15,16,48,3.2350098171745607,54.99516689196753
9026,2618,21,20,60,3.652229439761002,76.69681823498104
9027,6561,29,40,120,4.024708887366947,165.01306438204483
9028,1968,15,20,60,2.8607966463806362,60.07672957399336
9029,3424,21,27,81,3.5699924585715053,99.95978884000215
