seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
9000,1450,13,16,48,1.7940807646476007,30.49937299900921
9001,1550,13,18,54,2.3063078068949645,43.81984833100432
9002,27812,66,83,249,2.4812868496902802,208.42809537398352
9003,1353,15,13,39,1.9594274494281438,27.431984291994013
9004,7767,37,35,105,2.224256151611371,80.07322145800936
9005,68104,100,138,414,1.9738233702157506,274.36144845998933
9006,2362,20,18,54,3.160242360052507,60.044604840997636
9007,48664,89,103,309,2.0102290494325925,209.0638211409896
9008,5866,22,47,141,2.0425307647293116,98.04147670700695
9009,2141,19,16,48,2.4199373885295405,41.13893560500219
9010,22202,56,67,201,2.1636945220147132,147.1312274970005
9011,25394,53,78,234,2.1809598118460807,170.1148653239943
9012,16393,56,39,117,2.3781690506752056,95.12676202700823
9013,1105,10,16,48,2.7264471696465025,46.349601883990545
9014,19831,46,56,168,2.2843252298244856,130.20653809999567
9015,12608,49,33,99,1.8826601777352205,64.0104460429975
9016,8605,30,46,138,1.68495811734016,79.19303151498752
9017,20911,61,42,126,1.34311120851161,57.753781965999224
9018,19875,49,67,201,1.8543975204998144,126.09903139398739
9019,7015,30,38,114,2.2220461890260945,86.65980137201768
9020,3743,25,24,72,2.013495234520233,50.33738086300582
9021,1743,13,21,63,1.6432889706818308,36.15235735500028
9022,1885,18,15,45,2.3715777918746426,37.94524466999428
9023,17534,58,41,123,2.235298437642563,93.88253438098764
9024,573,9,9,27,3.241353899299793,32.41353899299793
9025,2686,14,26,78,2.036039420259503,54.973064347006584
9026,4914,28,31,93,1.6059779782189025,51.39129530300488
9027,6673,25,41,123,2.207689373142438,92.7229536719824
9028,47451,72,125,375,2.5103142888160654,313.7892861020082
9029,2132,14,21,63,2.467401423545446,54.28283131799981
