seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
9000,13471,50,39,117,2.09566774112609,83.8267096450436
9001,15489,39,66,198,3.107914842925392,208.2302944760013
9002,5972,27,37,111,3.7509303428692204,142.53535302903038
9003,1333,15,13,39,3.7676332660713734,52.746865724999225
9004,35714,82,66,198,2.8262161724026136,189.3564835509751
9005,5870,26,46,138,3.787899596064582,178.03128101503535
9006,3249,20,25,75,4.164186976039043,108.26886137701513
9007,65564,77,151,453,3.412987695677083,518.7741297429166
9008,59407,91,147,441,4.1268555280058115,610.7746181448601
9009,513,8,10,30,5.299637185368655,58.29600903905521
9010,1183,12,16,48,4.938228193764671,83.9498792939994
9011,10252,44,32,96,5.420311480393249,178.8702788529772
9012,886,12,10,30,4.569113579999381,50.26024937999318
9013,2499,16,21,63,3.890542229046828,85.59192903903022
9014,24109,54,76,228,3.6984685382599016,284.7820774460124
9015,346,7,7,21,5.7268012879994785,45.81441030399583
9016,20022,61,53,159,4.521589064000215,244.16580945601163
9017,639,9,10,30,4.229892851088979,46.52882136197877
9018,19947,56,60,180,4.66493916065579,284.56128880000324
9019,7299,29,46,138,3.891735016404245,182.9115457709995
