seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,4578,27,29,87,2.469516373400002,74.08549120200006
5001,5615,32,25,75,1.7306761901538437,44.997580943999935
5002,1061,13,12,36,2.3728011049999944,30.84641436499993
5003,6541,28,32,96,1.9758968094545426,65.2045947119999
5004,3006,20,24,72,2.593525062919998,64.83812657299995
5005,16750,40,50,150,2.3226960167058817,118.45749685199996
5006,31504,63,87,261,1.9024922635340915,167.41931919100006
5007,9248,32,42,126,2.7757408384883715,119.35685605499998
5008,5950,33,27,81,2.4550323282499926,68.7409051909998
5009,2107,17,21,63,2.5270620351363546,55.5953647729998
5010,13191,29,64,192,2.0590643445538457,133.83918239599996
5011,4629,29,22,66,2.776673444565236,63.86348922500042
5012,12278,40,50,150,2.4156193861960773,123.19658869599994
5013,2461,15,27,81,2.423266983535687,67.85147553899924
5014,1511,16,12,36,2.733514607769271,35.535689901000524
5015,1312,14,15,45,3.192383070375044,51.078129126000704
5016,4690,21,34,102,2.16746159102939,73.69369409499927
5017,22644,66,46,138,2.1864882690212575,102.7649486439991
5018,20196,41,82,246,2.1583693002650532,179.1446519219994
5019,3330,22,24,72,2.037926651079979,50.94816627699947
5020,11418,34,46,138,2.3090229168723155,108.52407709299882
5021,39816,88,61,183,2.386103732661292,147.9384314250001
5022,35215,70,105,315,1.7410940197263922,184.55596609099757
5023,23159,54,71,213,1.6100275213055903,115.9219815340025
5024,3755,26,19,57,1.7434688225500394,34.86937645100079
5025,4124,25,19,57,1.8727704000999665,37.45540800199933
5026,2510,20,20,60,1.272500658476171,26.72251382799959
5027,12253,37,53,159,2.0235266245740604,109.27043772699926
5028,1869,18,14,42,2.1328584480666297,31.992876720999448
5029,550,9,8,24,1.7022317053334115,15.320085348000703
5030,2968,23,17,51,1.7221568663333326,30.998823593999987
5031,2956,20,23,69,1.448840211749939,34.77216508199854
5032,4412,22,30,90,2.001703342483823,62.05280361699852
5033,2281,20,14,42,2.675608789999963,40.13413184999945
