seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,722,6,16,47,0.1023215816475225,1.7394668880078825
5001,157,4,5,14,0.12635973716714943,0.7581584230028966
5002,546,9,10,28,0.12911801427253522,1.4202981569978874
5003,145,3,6,17,0.1108977049999729,0.7762839349998103
5004,447,8,9,25,0.13475977560046887,1.3475977560046886
5005,287,6,7,20,0.13989417075026722,1.1191533660021378
5006,323,5,8,23,0.13192038877766915,1.1872834989990224
5007,50,0,4,11,0.13347679060098017,0.6673839530049008
5008,1738,16,19,55,0.13612035419973836,2.722407083994767
5009,102,2,5,14,0.12333927349936857,0.7400356409962114
5010,1020,11,15,43,0.11993497606249548,1.9189596169999277
5011,58,1,4,10,0.11857313699947554,0.5928656849973777
5012,36,0,4,10,0.14734678599998005,0.7367339299999003
5013,138,3,6,18,0.16031430683324288,0.9618858409994573
5014,358,7,7,20,0.1128221893754926,0.9025775150039408
5015,159,3,8,22,0.14657828788808225,1.3192045909927401
5016,123,3,6,17,0.14289151299921546,1.0002405909945082
5017,119,2,6,17,0.15839735499944904,1.1087814849961433
5018,803,7,17,50,0.13233177872259855,2.381972017006774
5019,4989,28,35,103,0.11832144836150998,4.25957214101436
5020,1721,17,15,45,0.14295978026663458,2.1443967039995186
5021,355,5,10,29,0.13688088999961937,1.505689789995813
5022,69,2,5,14,0.15220434900038526,0.9132260940023116
5023,245,4,9,26,0.11610608150003827,1.1610608150003827
5024,1196,14,13,37,0.12870777642794046,1.8019088699911663
5025,220,4,8,23,0.12960661899948414,1.1664595709953574
5026,59,1,4,11,0.13272279459924902,0.6636139729962451
5027,1080,6,19,56,0.13021133364982235,2.6042266729964467
5028,255,4,8,23,0.14086267733323943,1.267764095999155
5029,243,3,9,25,0.1222112264000316,1.222112264000316
5030,57,1,4,12,0.1696064297493649,0.6784257189974596
5031,64,1,5,14,0.13149842100028764,0.7889905260017258
5032,776,11,10,29,0.12279417245471533,1.3507358970018686
5033,124,3,5,15,0.18562973020088974,0.9281486510044488
5034,367,7,8,23,0.12162324977746014,1.0946092479971412
5035,299,6,9,25,0.1325186891008343,1.325186891008343
5036,283,6,8,23,0.16503362700031074,1.4853026430027967
5037,56,1,4,11,0.1264855629997328,0.632427814998664
5038,1237,13,15,44,0.12011265818750871,1.9218025310001394
5039,259,5,9,25,0.14464285759968334,1.4464285759968334
5040,531,6,9,26,0.15718626930101892,1.571862693010189
5041,223,5,7,20,0.13255101949971504,1.0604081559977203
5042,45,1,4,10,0.16702845100007835,0.8351422550003917
5043,45,0,4,12,0.20700591799868562,0.8280236719947425
5044,352,5,11,32,0.13108617608425752,1.57303411301109
5045,83,2,5,14,0.13336725133255337,0.8002035079953203
5046,356,5,10,29,0.138161446636249,1.519775912998739
5047,83,2,5,14,0.14727695050047865,0.883661703002872
5048,107,2,6,16,0.1393425874287329,0.9753981120011304
5049,550,7,12,35,0.12293465607693249,1.5981505290001223
5050,249,5,7,20,0.13608606687557767,1.0886885350046214
5051,460,8,10,28,0.16029172154528418,1.7632089369981259
5052,197,3,7,19,0.14788701862516973,1.1830961490013578
5053,58,1,5,13,0.14803730283407882,0.888223817004473
5054,561,9,11,31,0.14281525091610092,1.713783010993211
5055,475,8,10,29,0.12057001481761373,1.326270162993751
5056,113,3,5,14,0.14080902066780254,0.8448541240068153
5057,660,8,13,38,0.13722597114247037,1.9211635959945852
5058,1070,9,19,56,0.13730177494962845,2.746035498992569
5059,73,1,5,13,0.13916680366673972,0.8350008220004383
5060,625,8,13,38,0.11946932292838548,1.6725705209973967
5061,916,11,13,38,0.14159845921442735,1.982378429001983
5062,213,3,10,29,0.14530761690846042,1.5983837859930645
5063,463,8,10,28,0.12788854899951152,1.4067740389946266
5064,38,1,3,8,0.14366339549997065,0.5746535819998826
5065,354,6,9,26,0.12749428969982546,1.2749428969982546
5066,682,10,11,31,0.12973037408270707,1.556764488992485
5067,1386,15,15,44,0.1282224750000296,2.0515596000004734
5068,73,1,5,14,0.14643850383314808,0.8786310229988885
5069,1187,14,13,38,0.126036848358126,1.7645158770137641
5070,98,2,5,14,0.15118859666714948,0.907131580002897
5071,1758,12,26,78,0.114256162422792,2.970660222992592
5072,56,1,4,11,0.12535260259974165,0.6267630129987083
5073,580,7,11,32,0.12862991808378865,1.5435590170054638
5074,577,9,11,31,0.1377991170838868,1.6535894050066418
5075,485,7,9,25,0.13770032019965583,1.3770032019965583
5076,1503,13,19,55,0.1261174786501215,2.5223495730024297
5077,43,0,4,11,0.14535254959992017,0.7267627479996008
5078,163,3,7,20,0.14440114924991576,1.155209193999326
5079,1781,17,18,53,0.13602867073725639,2.5845447440078715
5080,80,1,5,14,0.1304228235003393,0.7825369410020357
5081,452,6,12,35,0.10938594053872154,1.42201722700338
5082,1545,12,19,56,0.1256480300498879,2.512960600997758
5083,1870,18,16,47,0.13397136994150488,2.277513289005583
5084,169,4,6,17,0.14352493271404196,1.0046745289982937
5085,1120,13,16,46,0.12358401399936103,2.1009282379891374
5086,369,7,9,26,0.12396961670056043,1.2396961670056044
5087,871,10,15,44,0.14507599481271427,2.3212159170034283
5088,134,3,7,19,0.12193556612510292,0.9754845290008234
5089,198,3,6,17,0.12541705900002853,0.8779194130001997
5090,154,3,7,20,0.14577824862499256,1.1662259889999405
5091,123,3,6,17,0.1428163050004514,0.9997141350031598
5092,362,6,9,25,0.1311272437000298,1.311272437000298
5093,188,4,7,20,0.1153351251255117,0.9226810010040936
5094,199,5,6,17,0.12821407728655945,0.8974985410059162
5095,312,6,8,23,0.12237574511083141,1.1013817059974826
5096,52,1,4,10,0.12682185220037354,0.6341092610018677
5097,296,6,8,22,0.13464316033302262,1.2117884429972037
5098,42,0,4,10,0.12835951820088667,0.6417975910044333
5099,1083,13,13,39,0.1274411672305947,1.6567351739977312
