seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,42,0,4,11,0.21982567220111376,1.0991283610055689
5001,73,1,5,13,0.16514773666676774,0.9908864200006064
5002,829,8,16,47,0.16801072970637881,2.8561824050084397
5003,77,2,4,11,0.2130619432005915,1.0653097160029574
5004,564,9,10,29,0.13202915163624726,1.4523206679987197
5005,214,5,6,17,0.14106194271464897,0.9874335990025429
5006,313,6,8,23,0.16024379277748974,1.4421941349974077
5007,196,3,7,20,0.1444180589996904,1.1553444719975232
5008,177,4,7,20,0.20840764562444747,1.6672611649955797
5009,40,0,3,9,0.35674499300148454,1.0702349790044536
5010,39,0,4,11,0.29786368579952976,1.4893184289976489
5011,1460,15,16,47,0.11175924682367408,1.8999071960024594
5012,38,0,4,10,0.2580472566005483,1.2902362830027414
5013,347,5,11,31,0.13806738475007782,1.6568086170009337
5014,45,1,3,8,0.23435746925133571,0.9374298770053429
5015,158,3,8,22,0.20862060500116464,1.8775854450104816
5016,85,2,5,15,0.29460649079992435,1.4730324539996218
5017,491,8,11,32,0.17043576849998013,2.0452292219997616
5018,290,6,6,17,0.1697383817143938,1.1881686720007565
5019,186,3,8,23,0.21083955866641999,1.89755602799778
5020,30,0,3,8,0.24705996425018384,0.9882398570007354
5021,1018,9,19,56,0.10267099630073062,2.0534199260146124
5022,223,4,8,22,0.16206174788870462,1.4585557309983415
5023,465,8,9,26,0.14261602939950535,1.4261602939950535
5024,55,1,4,11,0.26344239259997265,1.3172119629998633
5025,206,3,8,23,0.1715832106666413,1.5442488959997718
5026,722,8,13,39,0.1661496763850804,2.1599457930060453
5027,119,3,5,14,0.19383513666798535,1.1630108200079121
5028,904,12,11,33,0.1846977828185614,2.031675611004175
5029,657,10,9,26,0.14050663170091865,1.4050663170091866
5030,85,2,5,14,0.20117609616560608,1.2070565769936366
5031,1931,14,19,56,0.13318136604993924,2.663627320998785
5032,180,3,7,20,0.1850207472502916,1.4801659780023328
5033,35,0,3,9,0.324487629665479,0.973462888996437
5034,622,7,13,38,0.1502411993567096,2.1033767909939343
5035,349,5,10,28,0.18524310609063832,2.0376741669970215
5036,305,6,9,26,0.20353632489968732,2.035363248996873
5037,76,2,4,11,0.20885919080174062,1.0442959540087031
5038,130,2,6,17,0.17986700428549998,1.2590690299985
5039,646,8,12,35,0.13351576507753074,1.7357049460078997
5040,164,4,7,20,0.22963479587497204,1.8370783669997763
5041,121,3,5,15,0.20856465839970043,1.042823291998502
5042,292,6,7,20,0.3116597593739243,2.4932780749913945
5043,781,11,11,32,0.19198799258416935,2.3038559110100323
5044,51,1,4,11,0.20415443779929773,1.0207721889964887
5045,165,4,6,17,0.2180805511426505,1.5265638579985534
5046,286,4,10,29,0.20387737981813683,2.2426511779995053
5047,553,9,10,29,0.1662474270901426,1.8287216979915684
5048,549,9,10,28,0.16915991727298454,1.86075909000283
5049,900,12,12,35,0.16212827107693345,2.107667524000135
5050,293,6,7,19,0.18264047812590434,1.4611238250072347
5051,589,7,14,41,0.1342270985999979,2.0134064789999684
5052,120,3,5,13,0.18931126716597646,1.1358676029958588
5053,1610,11,22,65,0.1474219712176621,3.390705338006228
5054,614,7,13,37,0.15153708664287738,2.1215192130002833
5055,848,10,14,41,0.1333170609330409,1.9997559139956138
5056,41,0,4,11,0.22360329980001553,1.1180164990000776
5057,191,3,9,25,0.1631147913991299,1.631147913991299
5058,94,2,6,17,0.16498927685773065,1.1549249380041147
5059,63,1,5,13,0.1553238288324792,0.9319429729948752
5060,1041,13,12,35,0.11930382784647428,1.5509497620041657
5061,756,9,13,38,0.1580174446433895,2.2122442250074528
5062,45,0,5,15,0.38205142760052696,1.9102571380026347
5063,405,6,10,29,0.20068514190907907,2.20753656099987
5064,58,1,5,13,0.2153771144997639,1.2922626869985834
5065,671,10,10,29,0.11478267527325609,1.2626094280058169
5066,328,6,9,26,0.16664574799979165,1.6664574799979164
5067,175,4,7,20,0.1414874935003354,1.1318999480026832
5068,50,1,4,11,0.21340000980053447,1.0670000490026723
5069,406,6,10,29,0.17833402290919118,1.961674252001103
5070,79,1,5,14,0.19625246266635563,1.1775147759981337
