seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
9000,7903,35,34,102,2.3575021915715686,82.5125767050049
9001,6501,18,56,168,2.0949755605951506,119.41360695392359
9002,49766,96,84,252,2.6642941665289555,226.4650041549612
9003,1503,16,13,39,2.508443940854964,35.118215171969496
9004,12998,41,46,138,2.3802823104249793,111.87326858997403
9005,10584,42,44,132,2.54978019084568,114.74010858805559
9006,1832,16,18,54,2.9079576749477143,55.25119582400657
9007,36656,63,95,285,2.5629898913856173,246.04702957301924
9008,10080,40,44,132,2.6438268116009165,118.97220652204123
9009,20060,50,60,180,2.1879370726557203,133.46416143199895
9010,1053,13,11,33,2.5842599801665833,31.011119761998998
9011,2821,16,24,72,2.765300219639321,69.13250549098302
9012,2971,23,17,51,2.346700196445454,42.24060353601817
9013,1095,10,16,48,2.418077444002847,41.1073165480484
9014,10923,45,39,117,2.615424504949624,104.61698019798496
9015,6945,34,22,66,2.6165926091299574,60.18163000998902
9016,7161,24,49,147,2.3872772730203,119.36386365101498
9017,8548,28,48,144,1.834943677977913,89.91224022091774
9018,1180,10,16,48,2.6364436517666463,44.81954208003299
9019,7756,38,29,87,2.7126963399986077,81.38089019995823
9020,16685,44,70,210,2.217720662042602,157.45816700502473
9021,8368,36,35,105,2.374323491415756,85.47564569096721
9022,47152,83,87,261,2.1142339747048853,186.0525897740299
9023,54666,89,126,378,2.853558062465415,362.4018739331077
9024,32564,78,64,192,2.641324691475109,171.6861049458821
9025,11169,46,33,99,3.0436683798517845,103.48472491496068
9026,2561,14,30,90,1.7436998691940266,54.05469594501483
9027,12150,48,36,108,2.4922548573243124,92.21342972099956
9028,4606,29,23,69,2.1995826588742298,52.78998381298152
9029,4292,28,21,63,1.897738605316342,41.750249316959525
