rollout,total_steps,avg_score,avg_steps,policy_loss,value_loss,entropy
1,2048,56.25,11.30,0.1389,2281.0868,2.0167
2,4096,71.07,11.88,0.0350,3623.6380,1.8992
3,6144,59.67,11.25,0.0302,2932.8154,1.8975
4,8192,62.93,11.75,0.0458,3254.5144,1.6516
5,10240,63.06,11.62,0.0045,3115.1658,1.6645
6,12288,59.27,11.23,0.0033,3373.6646,1.6161
7,14336,62.88,11.42,0.0282,3466.5218,1.5585
8,16384,63.54,11.28,0.0147,3023.8882,1.5234
9,18432,58.44,11.20,0.0065,2470.9264,1.4827
10,20480,61.28,11.32,0.0241,3035.1203,1.3926
11,22528,65.43,11.72,0.0158,2889.9705,1.3516
12,24576,60.12,11.35,0.0164,2910.2501,1.3742
13,26624,68.68,12.22,0.0168,3771.6044,1.3423
14,28672,64.84,11.53,0.0110,4444.4392,1.2588
15,30720,65.01,11.86,0.0208,3044.1062,1.2752
16,32768,64.46,11.59,0.0260,3833.7995,1.1819
17,34816,61.67,11.76,0.0147,2570.7382,1.3755
18,36864,57.46,11.28,0.0100,2869.1505,1.3879
19,38912,57.81,11.45,0.0272,3525.8249,1.3436
20,40960,66.60,11.93,0.0110,3696.4773,1.2944
21,43008,55.06,10.89,0.0091,4020.2538,1.3024
22,45056,69.53,11.57,0.0204,5156.6756,1.1650
23,47104,67.55,12.05,0.0065,3978.3059,1.1553
24,49152,66.44,11.77,0.0185,4667.5910,1.2036
25,51200,59.47,11.42,0.0273,3786.8754,1.2449
26,53248,70.64,12.21,0.0166,4041.7034,1.0931
27,55296,69.29,11.97,0.0164,4105.9861,1.1576
28,57344,69.59,11.97,0.0152,4172.1593,1.1030
29,59392,78.14,12.30,0.0058,5182.1021,1.0956
30,61440,63.35,11.33,0.0136,4023.2987,1.0031
31,63488,73.78,12.59,0.0214,4087.7405,1.0282
32,65536,60.85,11.21,0.0306,3174.3677,1.1556
33,67584,68.10,11.85,0.0252,4457.9054,0.9836
34,69632,71.17,12.64,0.0103,4229.9566,0.9964
35,71680,71.25,12.33,0.0127,4075.6949,0.8998
36,73728,69.08,12.24,0.0075,4418.8159,0.9122
37,75776,72.10,12.22,0.0087,3910.0314,0.9528
38,77824,66.98,11.74,0.0090,5157.0105,0.8919
39,79872,73.50,12.23,0.0112,4926.0913,0.8998
40,81920,71.92,12.03,0.0053,4320.0333,0.9433
41,83968,69.11,12.01,0.0076,4678.3154,0.7948
42,86016,70.33,12.31,0.0198,4101.2449,0.8193
43,88064,69.95,12.05,0.0138,4268.3887,0.8768
44,90112,86.83,13.50,0.0159,4696.7030,0.7420
45,92160,73.29,12.19,0.0194,4311.7051,0.7468
46,94208,77.55,12.36,0.0178,5177.4439,0.7125
47,96256,82.63,12.72,0.0061,7805.9663,0.6245
48,98304,74.89,12.34,0.0114,4515.1091,0.6988
49,100352,75.59,12.46,0.0085,4364.4274,0.7044
50,102400,79.28,12.68,0.0036,5669.6689,0.6435
51,104448,83.66,12.82,0.0051,5159.4162,0.6140
52,106496,81.01,12.88,0.0091,5013.6521,0.6413
53,108544,81.22,12.82,0.0058,5675.1966,0.5862
54,110592,78.69,13.09,0.0051,5051.4353,0.6083
55,112640,81.34,13.05,0.0023,5202.0518,0.6289
56,114688,82.37,13.62,0.0139,5025.2266,0.6317
57,116736,75.95,12.52,0.0048,4807.7076,0.6364
58,118784,79.76,13.11,0.0027,4632.6646,0.6115
59,120832,83.63,12.92,0.0063,4654.1426,0.6568
60,122880,72.71,12.45,-0.0014,4691.3135,0.6284
61,124928,76.31,12.42,-0.0046,4901.3113,0.5974
62,126976,81.16,13.05,0.0064,4679.1249,0.6255
63,129024,86.97,13.55,0.0078,5436.4789,0.5662
64,131072,75.74,12.40,0.0068,4713.2037,0.5490
65,133120,71.61,12.53,0.0055,4234.9478,0.5879
66,135168,65.47,11.90,0.0135,4245.1389,0.5762
67,137216,83.95,13.08,0.0064,5372.2276,0.5001
68,139264,74.33,12.42,-0.0001,4998.6125,0.4663
69,141312,77.73,12.74,0.0088,4312.3358,0.5272
70,143360,72.07,12.19,0.0005,3703.0590,0.5412
71,145408,70.05,12.43,0.0052,3985.7130,0.5161
72,147456,70.33,12.15,0.0018,4196.5155,0.4986
73,149504,65.51,11.86,0.0153,3840.5774,0.5192
74,151552,73.05,12.24,0.0090,4280.9674,0.4604
75,153600,69.87,12.25,0.0015,4629.1413,0.4566
76,155648,71.49,12.46,0.0091,3766.5108,0.5264
77,157696,76.98,12.59,0.0031,3768.9942,0.5049
78,159744,79.64,12.54,0.0019,5046.9596,0.4900
79,161792,70.24,12.26,0.0056,4220.6716,0.5392
80,163840,77.49,12.61,0.0015,4881.9521,0.5066
81,165888,74.31,12.58,0.0045,4853.8931,0.5040
82,167936,75.54,12.68,0.0007,4990.5532,0.4775
83,169984,78.35,12.55,0.0082,5122.4369,0.4498
84,172032,66.95,12.31,-0.0002,4273.9747,0.4379
85,174080,70.60,12.06,0.0002,4359.7985,0.4977
86,176128,83.51,12.96,0.0136,5616.0301,0.3863
87,178176,82.47,13.17,0.0013,4867.8084,0.3602
88,180224,70.16,12.04,0.0048,4674.8288,0.4043
89,182272,82.98,13.06,-0.0014,6289.3165,0.3965
90,184320,69.97,11.95,0.0049,5502.9931,0.3652
91,186368,73.00,12.47,0.0027,6044.1477,0.3014
92,188416,83.36,12.69,-0.0013,6917.0628,0.3649
93,190464,73.28,12.30,0.0041,4987.1912,0.3724
94,192512,81.59,13.03,0.0046,5677.8490,0.3468
95,194560,70.49,12.19,-0.0035,4286.5014,0.3963
96,196608,69.57,12.24,0.0155,4036.5638,0.4123
97,198656,68.53,12.19,0.0073,4403.9347,0.3658
98,200704,85.98,13.02,0.0088,5358.9208,0.3449
99,202752,81.10,12.71,0.0069,4978.9879,0.3460
100,204800,82.79,13.25,0.0075,4488.0414,0.3628
101,206848,78.30,13.00,0.0018,5879.5564,0.3463
102,208896,81.22,12.65,0.0016,5126.1403,0.4008
103,210944,68.04,12.04,0.0042,4237.5813,0.3884
104,212992,78.69,12.93,0.0106,4175.5251,0.3731
105,215040,82.59,12.66,0.0124,7222.2141,0.3368
106,217088,69.97,12.34,0.0098,4347.8385,0.3425
107,219136,91.93,13.31,0.0144,7149.4697,0.2348
108,221184,83.34,13.04,-0.0023,6793.9577,0.2275
109,223232,87.49,13.11,0.0044,6609.3389,0.2084
110,225280,88.07,13.46,0.0055,6355.4985,0.1988
111,227328,88.22,13.38,0.0046,6062.6328,0.2230
112,229376,101.37,13.88,0.0020,6446.3200,0.1882
113,231424,78.69,12.86,0.0025,5581.6642,0.1933
114,233472,75.51,12.32,0.0107,5144.3473,0.2457
115,235520,70.14,12.60,0.0159,3871.6539,0.3007
116,237568,67.29,12.19,0.0032,4015.9394,0.2602
117,239616,92.14,13.42,0.0094,6008.9101,0.2039
118,241664,71.40,12.54,-0.0001,4849.7832,0.2188
119,243712,80.82,13.22,0.0035,4959.6004,0.2494
120,245760,83.06,13.16,0.0073,5147.3430,0.2078
121,247808,86.12,12.98,0.0135,4816.6422,0.2008
122,249856,82.68,13.15,0.0050,4743.0354,0.1948
123,251904,70.06,12.28,0.0012,4446.3183,0.1818
124,253952,80.52,13.28,0.0102,4318.6346,0.2226
125,256000,79.52,12.76,0.0056,5299.8514,0.1972
126,258048,76.86,12.76,0.0038,4160.5062,0.2066
127,260096,80.15,12.98,0.0020,4877.0886,0.1949
128,262144,77.20,12.62,-0.0006,4562.2367,0.1750
129,264192,77.94,13.02,0.0013,5298.3130,0.2037
130,266240,87.73,13.39,0.0087,5265.6405,0.1833
131,268288,83.29,13.04,0.0053,4928.7575,0.1937
132,270336,76.52,12.19,0.0073,6449.6059,0.1906
133,272384,73.35,12.42,0.0018,4094.3636,0.2196
134,274432,83.80,13.66,0.0111,5090.4559,0.1709
135,276480,85.54,13.35,0.0031,5283.1658,0.1851
136,278528,77.07,12.72,0.0089,4805.0643,0.1708
137,280576,72.73,12.63,0.0140,5300.6817,0.1630
138,282624,70.86,12.61,0.0091,5105.9748,0.1460
139,284672,68.16,11.81,0.0074,3757.2739,0.1389
140,286720,82.48,13.30,0.0021,4285.6501,0.1463
141,288768,73.99,12.66,0.0119,4009.7909,0.1471
142,290816,71.30,12.37,0.0082,3833.4989,0.1421
143,292864,78.13,13.19,0.0045,4194.0734,0.1170
144,294912,76.28,12.65,0.0047,4904.1179,0.1030
145,296960,84.08,13.11,0.0061,5505.3134,0.1006
146,299008,68.78,12.10,0.0086,4813.4107,0.1188
147,301056,75.89,12.80,0.0035,5086.4969,0.1145
148,303104,76.19,12.51,0.0080,5251.6794,0.0943
149,305152,73.97,12.71,0.0035,4176.1234,0.1340
150,307200,78.70,12.94,0.0118,4220.1434,0.1283
151,309248,87.56,13.60,0.0036,5323.0131,0.1201
152,311296,77.66,12.51,0.0084,5855.9380,0.0956
153,313344,78.30,12.81,-0.0008,4017.1555,0.0888
154,315392,76.26,12.32,0.0022,4642.3220,0.0953
155,317440,82.11,13.12,0.0072,3400.8449,0.1389
156,319488,78.00,13.02,0.0096,5214.5431,0.1283
157,321536,72.31,12.32,-0.0001,5047.1160,0.1291
158,323584,81.08,12.63,0.0050,5199.2199,0.1334
159,325632,72.85,12.44,0.0081,4103.1800,0.1226
160,327680,78.26,12.83,0.0051,3839.4285,0.1315
161,329728,77.40,12.61,0.0031,4039.1220,0.1425
162,331776,78.01,12.92,0.0066,3745.2093,0.1569
163,333824,85.65,13.40,0.0050,4840.2713,0.1316
164,335872,83.10,13.19,0.0031,4252.7578,0.1248
165,337920,85.99,13.07,0.0008,5508.0836,0.1264
166,339968,73.33,12.48,0.0071,4541.0925,0.1217
167,342016,78.98,12.67,0.0065,4916.8983,0.1459
168,344064,91.20,13.10,-0.0027,5982.0810,0.1223
169,346112,67.24,12.03,0.0045,4191.2317,0.1315
170,348160,85.34,13.42,0.0036,4650.2864,0.1171
171,350208,80.79,13.23,0.0030,4145.3003,0.1249
172,352256,72.19,12.43,0.0037,4024.0554,0.1021
