seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,105,2,6,18,0.0006519989995770933,0.0039119939974625595
5001,77,1,5,14,0.0004877341665026809,0.0029264049990160856
5002,27,0,3,8,0.0005223827511144918,0.0020895310044579674
5003,39,0,3,9,0.00048284400054399157,0.0019313760021759663
5004,34,0,3,9,0.0006098273321792173,0.0018294819965376519
5005,55,1,4,10,0.0004420802004460711,0.0022104010022303555
5006,66,1,4,11,0.0005203478016483132,0.002601739008241566
5007,30,0,3,7,0.00039409499913745094,0.0015763799965498038
5008,71,2,5,13,0.0004929588333955811,0.0029577530003734864
5009,58,1,4,11,0.00048247260056086814,0.002412363002804341
5010,39,0,4,11,0.0005112876009661704,0.002556438004830852
5011,118,3,5,15,0.0005566663324619489,0.003339997994771693
5012,52,1,4,11,0.000494550600706134,0.00247275300353067
5013,162,4,7,19,0.0005063746257292223,0.0040509970058337785
5014,26,0,2,6,0.000428565000523425,0.001285695001570275
5015,44,0,5,13,0.0005110129998987153,0.0030660779993922915
5016,43,0,4,12,0.0006275745008679223,0.0025102980034716893
5017,36,0,4,10,0.0004720374003227334,0.0023601870016136672
5018,54,1,4,10,0.0004292567988159135,0.0021462839940795675
5019,57,1,5,13,0.0004895401671092259,0.0029372410026553553
5020,45,0,4,12,0.0005917350008530775,0.00236694000341231
5021,41,0,4,10,0.00044243000011192637,0.0022121500005596317
5022,59,1,5,14,0.0005271518330118852,0.003162910998071311
5023,34,0,3,8,0.00046835324974381365,0.0018734129989752546
5024,69,1,4,12,0.0004981967998901382,0.002490983999450691
5025,103,2,6,17,0.000558025857441992,0.0039061810020939447
5026,90,2,5,14,0.0004800823347371382,0.002880494008422829
5027,47,1,3,9,0.0004572984998958418,0.0018291939995833673
5028,294,6,7,20,0.0005340983748283179,0.004272786998626543
5029,37,0,3,8,0.00046624275000795024,0.001864971000031801
5030,39,0,4,10,0.00047078739953576587,0.0023539369976788294
5031,38,0,4,10,0.00045257180026965217,0.002262859001348261
5032,35,0,3,9,0.0004857614985667169,0.0019430459942668676
5033,35,0,3,9,0.0006045376673379602,0.0018136130020138808
5034,125,3,6,16,0.0005091145721962675,0.003563802005373873
5035,39,0,4,11,0.000514569399820175,0.002572846999100875
5036,100,2,7,20,0.0005709235001631896,0.004567388001305517
5037,48,1,3,9,0.0005305100003170082,0.002122040001268033
5038,38,0,3,9,0.0005822123336353494,0.0017466370009060483
5039,41,0,4,11,0.00048605660122120754,0.0024302830061060376
5040,46,0,5,13,0.0005070066666424585,0.003042039999854751
5041,125,3,6,16,0.0005162924291133615,0.00361404700379353
5042,40,1,3,9,0.0006033756653778255,0.0018101269961334765
5043,26,0,3,8,0.00047939099931681994,0.0019175639972672798
5044,39,0,4,10,0.00048818079958437013,0.0024409039979218505
5045,58,1,5,13,0.0004585398322281738,0.002751238993369043
5046,216,4,8,24,0.0006215335557094982,0.005593802001385484
5047,27,0,3,7,0.0004551070014713332,0.0018204280058853328
5048,59,2,4,10,0.0004578400003083516,0.002289200001541758
5049,134,3,6,18,0.0006085111666228235,0.0036510669997369405
5050,78,2,4,11,0.0005308006002451293,0.0026540030012256466
5051,45,0,4,11,0.0005373384003178217,0.0026866920015891083
5052,52,1,3,9,0.0004561080022540409,0.0018244320090161636
5053,58,1,5,13,0.0004979461658270642,0.002987676994962385
5054,86,2,5,15,0.0006501718009531033,0.003250859004765516
5055,80,2,5,13,0.0005011629994745211,0.0030069779968471266
5056,55,1,4,12,0.0005501346000528429,0.0027506730002642144
5057,63,1,4,12,0.0005411361998994835,0.0027056809994974174
5058,37,0,3,9,0.0005520980012079235,0.002208392004831694
5059,79,2,4,12,0.0005415950006863568,0.002707975003431784
5060,27,0,3,7,0.00045801874966855394,0.0018320749986742157
5061,40,0,4,10,0.00046481600147671995,0.0023240800073836
5062,196,3,9,25,0.0006575890998647083,0.006575890998647083
5063,38,1,3,7,0.00040663475010660477,0.001626539000426419
5064,53,1,4,12,0.0005099888010590802,0.0025499440052954014
5065,84,2,5,13,0.00047760533379914705,0.0028656320027948823
5066,40,0,4,11,0.0005305693986883853,0.0026528469934419263
5067,34,0,3,9,0.0004852107495025848,0.0019408429980103392
5068,79,2,5,13,0.0004646753332053777,0.002788051999232266
5069,40,0,4,10,0.00043496199941728264,0.002174809997086413
5070,47,1,3,9,0.00045670850067836,0.00182683400271344
5071,39,0,3,8,0.0004921085001114989,0.0019684340004459955
5072,34,0,3,8,0.0004754325000249082,0.0019017300000996329
5073,43,0,4,12,0.0005723877475247718,0.0022895509900990874
5074,29,0,3,8,0.0004561692494462477,0.0018246769977849908
5075,31,0,3,7,0.00039413449940184364,0.0015765379976073746
5076,49,1,4,10,0.00043285900028422475,0.0021642950014211237
5077,38,0,4,10,0.0004674167990742717,0.0023370839953713585
5078,120,3,6,17,0.000527497285345037,0.0036924809974152595
5079,76,2,5,14,0.0005030376663247201,0.0030182259979483206
5080,35,0,3,8,0.00045430274985847063,0.0018172109994338825
5081,30,0,2,5,0.00044810333323160495,0.001344309999694815
5082,37,0,4,10,0.00046375980018638075,0.0023187990009319037
5083,61,1,5,13,0.0004951181678431263,0.0029707090070587583
5084,91,2,5,15,0.0004986918344608663,0.002992151006765198
5085,39,0,4,10,0.00045752380028716286,0.0022876190014358144
5086,37,0,3,9,0.0004923082497043652,0.0019692329988174606
5087,41,0,4,10,0.00048483179998584094,0.0024241589999292046
5088,42,0,4,11,0.00048326340038329363,0.002416317001916468
5089,40,0,3,8,0.0004529959996943944,0.0018119839987775777
5090,188,4,8,23,0.0005361002222343814,0.004824902000109432
5091,34,0,4,10,0.00048135799952433447,0.0024067899976216722
5092,43,0,4,10,0.0004669862006267067,0.0023349310031335335
5093,288,6,7,20,0.0005337486250027723,0.0042699890000221785
5094,31,0,3,9,0.0005479482497321442,0.0021917929989285767
5095,84,2,5,14,0.0005116408337926259,0.0030698450027557556
5096,34,0,3,8,0.00046470074994431343,0.0018588029997772537
5097,57,1,4,11,0.0005188631999772042,0.002594315999886021
5098,41,0,4,10,0.0004362308005511295,0.0021811540027556475
5099,104,2,6,16,0.0005162364286661614,0.0036136550006631296
