seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5100,121,3,6,17,0.0006630180037713476,0.004641126026399434
5101,41,0,4,10,0.0006613203993765637,0.0033066019968828186
5102,83,2,5,14,0.0005812293335717792,0.0034873760014306754
5103,124,2,6,17,0.0006258184314771954,0.004380729020340368
5104,97,2,6,17,0.0007123947122766237,0.004986762985936366
5105,35,0,3,9,0.0006129502471594606,0.0024518009886378422
5106,44,0,4,11,0.00047066780389286577,0.002353339019464329
5107,96,2,5,14,0.0008631206680244455,0.0051787240081466734
5108,43,0,4,11,0.0007877695985371247,0.0039388479926856235
5109,32,0,3,8,0.0004115132505830843,0.0016460530023323372
5110,55,1,4,12,0.0006172651977976784,0.003086325988988392
5111,39,0,4,10,0.0004953727999236435,0.0024768639996182173
5112,78,2,5,14,0.0006891983357490972,0.004135190014494583
5113,111,3,5,14,0.0006154871662147343,0.003692922997288406
5114,46,0,5,13,0.000489151498186402,0.002934908989118412
5115,81,2,5,13,0.0005559268344465332,0.0033355610066791996
5116,159,4,6,18,0.0007698575729071828,0.0053890030103502795
5117,47,0,4,12,0.0010322324960725382,0.004128929984290153
5118,188,4,7,19,0.0007113499978004256,0.005690799982403405
5119,37,0,4,10,0.0005565306026255711,0.002782653013127856
5120,38,0,3,9,0.0005192907483433373,0.0020771629933733493
5121,54,1,5,13,0.0006092771703454977,0.0036556630220729858
5122,38,0,4,10,0.0004522298026131466,0.002261149013065733
5123,51,1,4,12,0.0006286988034844398,0.0031434940174221992
5124,62,1,5,13,0.0004981525028900554,0.0029889150173403323
5125,86,2,5,13,0.0006527798347330341,0.003916679008398205
5126,57,1,4,11,0.0009369180013891309,0.004684590006945655
5127,57,1,4,12,0.0006951528019271791,0.0034757640096358955
5128,36,0,3,9,0.0006419093309280773,0.001925727992784232
5129,34,0,3,9,0.0006230162507563364,0.0024920650030253455
5130,31,0,3,8,0.0004949219983245712,0.0019796879932982847
5131,90,2,6,16,0.0006300917157204822,0.004410642010043375
5132,30,0,3,8,0.000612060001003556,0.002448240004014224
5133,88,2,5,14,0.000649697833675115,0.0038981870020506904
5134,60,1,5,13,0.0006319276653812267,0.00379156599228736
5135,38,0,4,10,0.00045666040387004614,0.0022833020193502307
5136,164,4,6,18,0.0006075837175428335,0.004253086022799835
5137,53,1,4,11,0.0007017532043391839,0.0035087660216959193
5138,73,2,3,9,0.0006724177546857391,0.0026896710187429562
5139,107,2,7,19,0.0005799129994557006,0.004639303995645605
5140,42,0,4,10,0.0005709557997761294,0.002854778998880647
5141,124,3,6,17,0.0006266162880430264,0.004386314016301185
5142,51,1,4,10,0.00045079880219418557,0.0022539940109709278
5143,37,0,3,7,0.0004759517505590338,0.0019038070022361353
5144,34,0,3,7,0.0004410307483340148,0.0017641229933360592
5145,51,1,4,10,0.0004746770020574331,0.0023733850102871656
5146,42,0,4,12,0.0007260924030561,0.0036304620152805
5147,117,3,5,15,0.0007297270009682203,0.004378362005809322
5148,37,0,3,8,0.0007363817494479008,0.002945526997791603
5149,44,0,4,11,0.0006216158013558015,0.0031080790067790076
5150,53,1,4,12,0.0006073958036722615,0.0030369790183613077
5151,81,2,5,13,0.0009648305009856509,0.005788983005913906
5152,28,0,3,7,0.0007811880022927653,0.0031247520091710612
5153,41,0,3,9,0.0006033787503838539,0.0024135150015354156
5154,30,0,3,8,0.0004927599984512199,0.0019710399938048795
5155,37,0,4,10,0.0005455664038890972,0.0027278320194454864
5156,52,1,4,10,0.0004741582000860944,0.002370791000430472
5157,40,0,4,12,0.0008332094002980739,0.0041660470014903694
5158,98,2,6,18,0.0007383511422501345,0.005168457995750941
5159,58,1,4,12,0.0006343077984638512,0.003171538992319256
5160,39,0,4,10,0.00047958240611478686,0.0023979120305739343
5161,89,2,5,15,0.0006596891665443158,0.003958134999265894
5162,88,2,5,15,0.0006010916719484763,0.0036065500316908583
5163,39,0,3,9,0.00051858050210285,0.0020743220084114
5164,53,1,4,11,0.0006742291967384517,0.0033711459836922586
5165,116,3,5,13,0.000465648336103186,0.002793890016619116
5166,42,0,4,10,0.0005423976021120325,0.0027119880105601624
5167,49,1,4,10,0.00048522739962209016,0.002426136998110451
5168,87,2,5,15,0.0006771863962057977,0.003385931981028989
5169,36,0,3,9,0.0005870507557119709,0.0023482030228478834
5170,60,1,4,10,0.0004682054073782638,0.002341027036891319
5171,31,0,3,7,0.00040963874926092103,0.0016385549970436841
